# sf	ppl	ppl_sem	p0	p0_sem	sep	sep_sem	short   (stream=30k deep n=128; sink n=32; short=in-ctx Lm=64 n=96)
0	39.1900	1.6084	0.1197	0.0019	0.0743	0.0022	46.0
16	39.4474	1.6189	0.1221	0.0016	0.0704	0.0022	51.9
32	39.5534	1.6194	0.0982	0.0013	0.0702	0.0022	51.6
48	38.6784	1.5917	0.0852	0.0015	0.0781	0.0020	54.2
64	39.2608	1.6117	0.0797	0.0013	0.0875	0.0021	56.1
80	39.2549	1.6382	0.0773	0.0018	0.1069	0.0027	56.8
96	39.1169	1.6035	0.0749	0.0014	0.1028	0.0025	63.4
112	38.8385	1.6001	0.0614	0.0015	0.1053	0.0026	60.3
127	39.1941	1.6180	0.0554	0.0013	0.1136	0.0025	67.6
